"X","MlsNumber","Lat","Lng","BuyPrice","ConstructionYear","WalkScore","NbPieces","NbChambres","NbSallesEaux","NbSallesBains","NbFoyerPoele","NbEquipements","NbGarages","NbStationnements","NbPiscines","NbBordEaux","NbAnimals","NbCultures","IsNewPrice","IsNew","RevenuBrutPotentiel","Outremont","LaSalle","Mont.Royal","Ville.Marie","Le.Plateau.Mont.Royal","Hampstead","Le.Sud.Ouest","Riviere.des.Prairies.Pointe.aux.Trembles","Lachine","Dorval","Montreal.Nord","Lile.Bizard.Sainte.Genevieve","Kirkland","Dollard.des.Ormeaux","Senneville","Ahuntsic.Cartierville","Cote.Saint.Luc","Saint.Leonard","Montreal.Ouest","Pointe.Claire","Lile.Dorval","Mercier.Hochelaga.Maisonneuve","Cote.des.Neiges.Notre.Dame.de.Grace","Rosemont.La.Petite.Patrie","Saint.Laurent","Beaconsfield","Villeray.Saint.Michel.Parc.Extension","Westmount","Montreal.Est","Anjou","Pierrefonds.Roxboro","Sainte.Anne.de.Bellevue","Verdun","Baie.dUrfe","AP","C","ME","VE","I","X4X","MA","PP","AU","MPM","TE","X2X","TR","X3X","MEM","LS","MM","X5X","FE","COP","PCI","UNI","PPR","TER","FER","Population","Variation","Density","avgAge","below15","below24","below44","below64","below65","AvgIncome","below50000","below80000","below100000","below150000","above150001","avgSize","totalHouse","size1","size2","size3","size4","size5","totalFam","Children","NoChildren","Single","Unemploy","Owner","Renter","totaldwelling","before1960","before1980","before1990","before2000","before2005","before2011","Single.1","Semi","Duplex","Buildings","Mobile","belowBach","Bach","abvBach","University","College","Secondary","Apprentice","No","NonImmigrant","Immigrant","french","English","Others","PoliceDist","FireDist","LivingArea"
10,9680184,45.54172477,-73.65479467,338000,1969,80,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,2.069110746,0.417987344,1350.9
11,9763278,45.575654,-73.647601,669000,NA,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,0.916646577,0.803136293,NA
12,9849331,45.54356702,-73.66182812,3900000,NA,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,2.649511221,0.859356005,NA
13,10074419,45.55312806,-73.62958009,275000,1987,63,4,1,0,1,0,0,2,1,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,1.713101508,0.789546789,980
14,10075251,45.52471,-73.739183,1825000,NA,17,17,5,1,3,2,0,3,2,3,1,0,0,0,0,41700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,3.003642737,1.67251155,NA
15,10146342,45.52395386,-73.73037457,849000,1957,35,14,4,1,2,1,0,2,2,2,0,0,0,0,0,31200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,2.343037689,1.267024342,2300
16,10146659,45.554148,-73.670305,239000,1955,88,5,2,0,1,0,0,0,0,0,0,0,0,0,0,29940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,2.064596669,0.215470727,978
17,10387759,45.512548,-73.748125,749000,1973,18,8,3,0,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,4.06149431,1.755850288,NA
18,10408060,45.53308,-73.679385,214500,2011,54,5,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,1.760466831,1.921236536,827
19,10417010,45.53677,-73.647044,225000,2007,84,7,2,0,1,0,0,0,1,0,0,0,0,0,0,28680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,127000,2,5256,41,16,11,29,26,18,54557,57,22,8,7,6,2.2,56880,41,29,14,15,1,31800,44,36,20,10,39,61,56910,42,36,15,3,2,2,10,5,75,10,0,6,18,12,36,16,20,10,18,60,40,64,10,26,1.421249566,0.884723692,844.97
