"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113"
"66",0.898209123032445,0.890975367281564,0.882937265221671,0.87407705058014,0.864293536687062,0.853515409117857,0.841650922538891,0.828579468934049,0.814148440012866,0.798186533705945,0.780490011762695,0.760849018661519,0.739069224890391,0.714948054429705,0.688256299351205,0.658765531465365,0.62626923347858,0.590686718608444,0.552094976286137,0.510768176964764,0.467175203297091,0.422035179678444,0.376309606639038,0.331067109151982,0.287266783043904,0.245568700286672,0.206436238425575,0.170308191157308,0.137611156022635,0.108672577106984,0.0837083708370837,0.0627725557253144,0.0457168310015995,0.0322613319827805,0.0220044191279317,0.0144635014656213,0.00913538642684586,0.00552648956163966,0.00319290646004291,0.00175077868935893,0.000906960154896566,0.000448947524156438,0.000204348536864476,9.2096107404527e-05,4.09991492676527e-05,1.02683109655293e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",0.890680212014134,0.882751071970115,0.873927803780559,0.864171982520468,0.853412504646793,0.841557893467579,0.828496201310447,0.81406661440431,0.798106304277903,0.780403707352379,0.760764876793308,0.738980051480052,0.714854591528901,0.688145548169082,0.658633003067947,0.626118013984607,0.590514335168208,0.551911578184454,0.510588164214724,0.46701049620243,0.421890587369885,0.37618063605665,0.330953605388672,0.28716826210194,0.245481973300506,0.206363306012032,0.170246281542516,0.137559724032041,0.108629749393694,0.0836728298339079,0.0627433529869841,0.0456932401121083,0.0322427162843433,0.0219903773107116,0.0144533863088119,0.00912843711013966,0.00552183357356016,0.00318992228374054,0.00174898060868593,0.000905926182284563,0.000448384795679201,0.000204067056434744,9.19568415890142e-05,4.09316032909009e-05,1.02497873169132e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",0.882458641182139,0.873743510438529,0.864024426990217,0.853292480787583,0.841456430659794,0.828404626252273,0.81398480524179,0.798026090976703,0.780325265358636,0.760680753533445,0.738898328088713,0.71476833976834,0.688055589075258,0.658527018736611,0.625992053513051,0.590371749081946,0.551750510712381,0.510418554085885,0.466845905204966,0.421741845800512,0.376051753846774,0.33084017942644,0.287069808714241,0.245397782866135,0.206290425113266,0.170186134776113,0.137509718982561,0.108589149166136,0.0836398544866613,0.0627167133369052,0.0456719829286299,0.0322260783341596,0.0219776882427973,0.0144441630792606,0.00912205307007764,0.00551763309768442,0.00318723482003289,0.00174734596434195,0.000904995780075857,0.000447873618208098,0.000203811270763273,9.1830175395635e-05,4.08697073728952e-05,1.02329008227252e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0.87345406360424,0.863842222066015,0.853146782909142,0.841338088301773,0.828304749274095,0.813894834152272,0.797945893797484,0.780246839132445,0.760604293985204,0.738816622770864,0.714689293936683,0.687972570785071,0.658440931579583,0.625891321620018,0.590252979932606,0.551617284571658,0.510269595757313,0.466690825632663,0.421593209074706,0.375919173197413,0.33072683118532,0.28697142281135,0.245313650159825,0.206219675802173,0.170126030493527,0.137461137804336,0.108549675360738,0.0836085941998242,0.0626919967663702,0.0456525914618736,0.032211086277167,0.0219663472726721,0.0144358283897876,0.00911623195745758,0.00551377430013582,0.00318481028064873,0.00174587385046387,0.000904149946665312,0.000447413644082446,0.000203578917367317,9.17150718434729e-05,4.08134112869489e-05,1.02174268432238e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",0.863556055252168,0.852966871855638,0.841194431610454,0.828188256567382,0.813796706553737,0.797857695515429,0.780168428669052,0.760527849806026,0.738742360887745,0.714610265586361,0.687896488282546,0.658361486486487,0.625809500824585,0.590157999014392,0.55150631192476,0.51014638563308,0.466554628613982,0.421453161804675,0.375786686000262,0.330610230271773,0.286873104323905,0.245229575122222,0.206148975002773,0.170067684113903,0.137412590940738,0.108511325554165,0.0835782012056587,0.0626685657141125,0.0456345998383185,0.0321974100544879,0.0219561281970894,0.01442837918509,0.00911097163450831,0.00551025576095214,0.00318258296000487,0.00174454575882669,0.000903388213321424,0.000446995479250267,0.000203369838219294,9.16105128152928e-05,4.07622541526546e-05,1.02033528217372e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",0.852684307741728,0.841017041061225,0.828046845181897,0.813682254256869,0.797761501441762,0.78008219535968,0.760451420991277,0.738668113931938,0.714538436796398,0.687820422606003,0.658288678657243,0.625733992921493,0.59008084952335,0.551417565950257,0.510043755972439,0.466441973942351,0.42133016674885,0.375661855005939,0.330493711546788,0.286771964461994,0.245145557694052,0.206078322665188,0.170009377741477,0.137365463953922,0.108473002835434,0.083548673638309,0.0626457847384205,0.0456175439659788,0.0321847210994341,0.0219468060371407,0.0144216668857897,0.00910627017291795,0.00550707618796947,0.00318055203849076,0.00174332569783706,0.000902701003113811,0.000446618891979131,0.000203179763295576,9.15164271986822e-05,4.07157834734635e-05,1.01905635381637e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",0.840738435592676,0.827872227187371,0.813543319740463,0.797649304334723,0.779988144397223,0.760367367035441,0.738593881898943,0.714466622444672,0.687751286587327,0.658215886929773,0.625664793348548,0.590009652509653,0.551345480873658,0.509961681970412,0.466348136599105,0.421228432013683,0.375552223485725,0.330383926234624,0.286670895890604,0.245059129278562,0.206007718739608,0.169951111335114,0.137318369281342,0.108435800962305,0.0835191669273382,0.0626236524407478,0.0456009612957297,0.0321726921017809,0.0219381568310428,0.0144155437167032,0.00910203379888551,0.00550423441563041,0.00317871677026179,0.00174221321853634,0.000902069692485455,0.000446279147606828,0.000203008587263241,9.14308934830091e-05,4.06739676438587e-05,1.01789458683659e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0.827597976228718,0.813371760240202,0.797513107410458,0.779878446933548,0.760275693000171,0.738512243893126,0.714394822526832,0.687682164465617,0.658149726600193,0.625595609079394,0.589944403671569,0.551278957528958,0.509895016290576,0.466273093904316,0.421143690589951,0.375461542331103,0.330287508428012,0.286575667894747,0.244972761783927,0.205935088744284,0.169892884853737,0.137271306889774,0.108398624597917,0.0834905232153485,0.0626015357759099,0.045584850809545,0.0321609968394374,0.0219299574734588,0.0144098625707357,0.00909816924616613,0.00550167376288191,0.00317707648255137,0.0017412079123727,0.000901494049126361,0.000445967038981573,0.000202854158003104,9.13538642684586e-05,4.06359526591152e-05,1.01684919109647e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",0.813102312881465,0.797344928351225,0.779745284345433,0.760168767893917,0.738423204830656,0.714315859283152,0.687613056236684,0.658083579569439,0.625532727565133,0.589879169263556,0.55121799189681,0.509833494208494,0.466212139495596,0.421075921996158,0.375386008147664,0.330207756929423,0.286492034899518,0.244891385315375,0.205862509943711,0.169832987489171,0.137224276746037,0.108361473716043,0.083461899143903,0.0625800659693152,0.0455687517027739,0.03214963459442,0.0219219856007593,0.0144044769033405,0.00909458367016977,0.00549933785546042,0.00317559845872228,0.00174030941082432,0.000900973861634711,0.000445682451253482,0.00020271229044617,9.12843711013966e-05,4.06017174526482e-05,1.01589881647788e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",0.797080790234501,0.77958085215348,0.760038970691629,0.738319353056407,0.714229737468728,0.687537053226017,0.658017445833501,0.625469858690627,0.589819877774204,0.551157039747482,0.509777112006997,0.466155888030888,0.421020876070955,0.375325602679245,0.330141326761555,0.286422858292671,0.244819917279689,0.205794125344769,0.169773132344501,0.137175897012309,0.108324348290491,0.0834332946928078,0.0625586108842303,0.0455531234554203,0.0321382803749634,0.0219142407235434,0.0143992406571547,0.00909118458135095,0.00549717057396928,0.00317425015921796,0.0017394997926759,0.000900508939321886,0.000445425279909295,0.000202582932387946,9.12205307007764e-05,4.05708316006207e-05,1.01504293631621e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
