"n","muPredicted"
0,0.0800569553090898
0,0.0373997574261311
0,0.0443495575730041
0,0.0120272593410571
0,0.0772841658949315
0,0.0428099118913636
0,0.0507372203291651
0,0.0714368518920875
0,0.0967790611809267
0,0.0264723106801822
0,0.04739242638806
0,0.0922454654346703
1,0.0899771343174243
0,0.00710216334558878
0,0.0360451778388518
0,0.0956853217959851
0,0.00573536660830989
0,0.0539960003410221
0,0.146445908886767
0,0.0751797065576737
0,0.0941275800526822
0,0.106552532479249
0,0.0326283515239722
0,0.0192824163360887
1,0.0634246238736833
0,0.0371010372893625
0,0.0822957001984294
0,0.0401170452401422
0,0.102282873472764
0,0.0768317179228697
0,0.05558899006789
0,0.091489355062255
0,0.00673781567599515
0,0.0294175610892215
0,0.114387277514488
0,0.0340172631872168
0,0.034219395612622
0,0.0138805496257189
0,0.0791698976325348
0,0.0356982280559964
0,0.0354705672726022
0,0.0618000618947423
0,0.0413893495534884
1,0.0664386378988259
0,0.0140799369404349
0,0.112156900130179
0,0.0967790611809267
0,0.0383489721963108
0,0.0359073698212249
0,0.0844323249197119
0,0.00953198872107951
0,0.0487716672778891
0,0.0124867624257396
0,0.0243595267316477
0,0.0494863331446911
0,0.0828646880044787
0,0.0567235540551296
0,0.0334461837648818
0,0.0494867831757997
1,0.14369759424278
0,0.0482415404596512
0,0.0970442092937512
0,0.00714270666642117
0,0.0400679021682557
1,0.0809440129856448
0,0.0164417008783711
0,0.0765917687988599
0,0.0112957498097566
0,0.0570329285044023
0,0.0430097762274963
0,0.0176372233871638
0,0.00434256289500279
0,0.0322369815834758
0,0.154360700957898
0,0.0824699381520755
0,0.0416505393390395
0,0.0354619419398609
0,0.0647734552369133
0,0.0198020839923726
0,0.0595824167383971
0,0.10006719691902
0,0.0456804024513933
0,0.0184717575406028
0,0.00739780333307908
0,0.0406463886972261
1,0.0339700022155896
0,0.0509401692104818
0,0.0200401785354666
0,0.0487872527597001
0,0.0146153842270034
0,0.050853821385076
1,0.0825569926841349
0,0.0898608183492469
0,0.0220853808354953
0,0.0389761884384056
0,0.0220853808354953
0,0.0447905624346649
0,0.0555500740738984
0,0.127808860268347
0,0.000304527278295538
0,0.0839558829836444
0,0.0485559918674812
0,0.0426050373267954
0,0.110963279603353
0,0.0742792905618977
0,0.0588761943594064
0,0.0406754874702123
0,0.0927972000524949
0,0.0591091402335286
0,0.0489425272859582
0,0.0922454654346703
0,0.114387277514488
0,0.0288692340983873
0,0.0813273091556135
0,0.0371010372893625
0,0.0343395152888833
0,0.0878480218669064
0,0.0758116323175954
0,0.0314465468526666
0,0.0440689693106143
0,0.0655127111684792
0,0.0312398878823591
0,0.089430190677788
0,0.0521015978505655
0,0.0569694730030791
0,0.00473477556372586
0,0.0948536476990875
0,0.0238680013165092
0,0.0350636723759764
0,0.0456966840239401
0,0.00314337229387199
0,0.0861604426410204
0,0.0370791386798766
0,0.0143908274234829
0,0.0126802836534081
0,0.0785791008795442
0,0.0589172826649965
0,0.0419096660109064
0,0.0967790611809267
0,0.00640072789917323
0,0.0256821580380744
0,0.0722521950099652
0,0.164261387316714
0,0.0363242665622808
0,0.0959098987428809
0,0.0632497880096215
0,0.0497348760417536
0,0.0370881403700874
0,0.0876669609661557
0,0.0656830464850773
0,0.0327496004489239
0,0.0295370207290591
0,0.0392992659237362
0,0.000502854890729819
1,0.0878762773742822
0,0.0697548357098375
0,0.0485207097520704
0,0.0494867831757997
0,0.125637240868004
0,0.0455030965885106
0,0.0922454654346703
0,0.0355053695473676
0,0.0940824798316153
0,0.0166155992567101
0,0.0901473197818483
0,0.00890320584960426
0,0.0289236245041331
0,0.0906426347257046
0,0.0459885026767125
0,0.0202103394769015
0,0.0599331082066134
0,0.0426822771631842
0,0.0395826842714258
0,0.0676835165679381
0,0.0154219857706966
0,0.0945514284496002
0,0.0356954552319315
0,0.0914760989244376
0,0.037232657795618
0,0.0479760407540956
0,0.0380950054930239
0,0.0444441730751946
0,0.0127505783934544
0,0.0516740443106417
0,0.05025273599662
0,0.164261387316714
0,0.0608115163977148
0,0.0773119161598876
0,0.0487716672778891
0,0.142912361487355
0,0.0447656917205614
0,0.0189888261008806
0,0.0879018320908494
0,0.0429777422131052
0,0.00764715547774652
0,0.0473218600128429
0,0.0372958973998467
0,0.0859250315955531
0,0.0855996332894205
0,0.038432967442525
0,0.0182696450487357
0,0.0115464333817816
0,0.0113737145058887
0,0.111235608749436
0,0.0412125271192978
0,0.00732544324108088
0,0.0180254379118311
0,0.0140799369404349
0,0.0278616033740034
0,0.0611713955662542
0,0.075907384730141
0,0.00491602852140847
0,0.104868432423803
0,0.0161136490423944
0,0.0279363373615509
0,0.00139068583538316
0,0.0351424649854477
0,0.0393101922519685
0,0.0472825892531478
0,0.0155195421255459
0,0.11282032850744
0,0.0298960040447124
0,0.0729392857344745
0,0.0845735269891561
0,0.0492144302153246
0,0.0189888261008806
